Table 1
Schenectedy - Building 37 Data,,,,,,,,,,,,,,
MIT Hackathon,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Est. 2025 Electricity," 	5,666,000.00 ",kWh,,,,,,,,,,,
,Est. 2025 Natural Gas," 	273,000.00 ",CCF,,,,,,,,,,,
,Est. 2025 Water," 	129,777,000.00 ",Gallons,,,,,,,,,,,
,,,,,,,,,,,,,,
,,A,A,A,A,A,A,A,A,A,A,A,A,Sum of A's
,,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025,August 2025,September 2025,October ,November,December,Full 2025
,Purchased electricity [kWh]," 	463,000.00 "," 	413,000.00 "," 	485,000.00 "," 	474,000.00 "," 	461,000.00 "," 	477,000.00 "," 	516,000.00 "," 	491,000.00 "," 	470,000.00 "," 	472,000.00 "," 	472,000.00 "," 	472,000.00 "," 	5,666,000.00 "
,Natural gas [ccf]," 	48,000.00 "," 	41,000.00 "," 	35,000.00 "," 	23,000.00 "," 	14,000.00 "," 	12,000.00 "," 	8,000.00 "," 	11,000.00 "," 	12,000.00 "," 	23,000.00 "," 	23,000.00 "," 	23,000.00 "," 	273,000.00 "
,Water Consumption [gal (US)]," 	5,978,000.00 "," 	5,901,000.00 "," 	6,083,000.00 "," 	9,405,000.00 "," 	9,434,000.00 "," 	9,405,000.00 "," 	17,143,000.00 "," 	17,287,000.00 "," 	16,696,000.00 "," 	10,815,000.00 "," 	10,815,000.00 "," 	10,815,000.00 "," 	129,777,000.00 "
